,b,d,dh,f,g,k,m,n,p,s,sh,t,th,v,z,zh,total
b,21,1,3,18,3,0,1,0,1,0,3,0,8,12,3,4,78
d,1,27,10,0,7,1,1,7,2,4,0,5,9,2,2,0,78
dh,5,4,2,18,6,6,1,1,10,3,1,3,6,7,2,3,78
f,0,1,1,53,1,2,0,0,2,1,1,1,8,5,1,1,78
g,2,6,0,6,8,22,2,1,0,11,1,3,3,2,9,2,78
k,2,3,2,2,1,51,1,1,1,0,3,4,1,3,2,1,78
m,12,1,0,12,3,1,14,0,12,2,3,5,3,4,3,3,78
n,0,3,6,5,5,0,1,36,3,3,1,1,7,1,4,2,78
p,2,2,4,2,2,1,2,0,48,0,1,7,5,0,0,2,78
s,1,0,3,6,0,1,0,0,0,42,4,1,11,0,7,2,78
sh,0,0,0,0,0,0,0,0,0,1,73,1,0,0,0,3,78
t,2,4,0,4,4,13,0,1,1,1,1,36,6,3,2,0,78
th,3,0,4,13,1,0,0,1,0,4,6,1,34,1,9,1,78
v,15,1,3,14,0,0,1,1,1,13,1,2,13,11,1,1,78
z,3,2,0,6,4,1,1,3,2,4,2,5,2,4,32,7,78
zh,1,6,5,7,14,0,0,4,3,1,13,1,3,3,1,16,78
,70,61,43,166,59,99,25,56,86,90,114,76,119,58,78,48,1248
