,b,d,dh,f,g,k,m,n,p,s,sh,t,th,v,z,zh,total
b,43,2,4,2,3,3,0,0,0,7,3,1,1,3,2,4,78
d,3,14,6,1,15,1,0,1,1,14,3,0,13,1,2,3,78
dh,4,6,14,4,4,2,1,1,2,1,1,1,17,14,6,0,78
f,2,0,1,62,0,0,0,2,0,1,0,0,4,6,0,0,78
g,1,3,0,1,64,1,0,0,0,5,1,0,0,0,1,1,78
k,0,0,0,2,0,74,0,0,1,1,0,0,0,0,0,0,78
m,23,2,1,5,5,6,16,1,6,2,1,2,4,3,1,0,78
n,6,9,2,3,3,7,3,20,5,2,0,4,8,5,0,1,78
p,1,1,1,2,4,23,1,0,37,1,1,4,1,1,0,0,78
s,0,0,1,5,0,0,0,2,0,57,2,0,5,0,4,2,78
sh,0,4,0,1,0,0,0,0,0,1,67,0,2,1,0,2,78
t,1,0,1,2,0,19,0,0,16,0,0,36,2,1,0,0,78
th,0,1,2,26,1,0,0,0,0,3,3,1,36,4,1,0,78
v,7,2,2,34,0,1,1,0,1,0,0,0,9,21,0,0,78
z,1,5,7,4,0,2,0,1,0,1,1,1,18,3,27,7,78
zh,2,10,7,2,11,9,1,5,2,3,9,1,6,1,1,8,78
,94,59,49,156,110,148,23,33,71,99,92,51,126,64,45,28,1248
