,b,d,dh,f,g,k,m,n,p,s,sh,t,th,v,z,zh,total
b,6,6,5,13,8,6,3,4,2,6,4,3,6,3,1,2,78
d,3,6,0,8,7,4,6,1,2,15,5,2,9,2,4,4,78
dh,6,9,2,14,6,8,3,2,2,4,4,6,4,3,1,4,78
f,7,1,2,15,5,5,1,5,6,4,2,4,16,3,0,2,78
g,4,6,1,11,12,8,1,2,1,11,4,2,3,2,7,3,78
k,3,4,2,6,6,10,6,4,4,8,4,7,9,1,4,0,78
m,3,6,1,6,9,10,6,4,2,6,3,9,4,4,3,2,78
n,2,7,0,2,10,8,5,11,5,10,2,2,4,5,3,2,78
p,7,6,0,6,3,10,1,2,16,3,2,10,6,1,5,0,78
s,2,8,0,4,12,10,6,1,2,9,4,6,4,3,4,3,78
sh,1,2,0,0,0,2,0,3,2,23,28,0,8,3,1,5,78
t,8,2,2,7,5,15,1,1,15,4,1,6,9,0,0,2,78
th,4,1,4,11,6,0,2,0,1,17,2,2,20,2,5,1,78
v,13,3,2,13,4,0,1,0,3,12,10,1,1,6,3,6,78
z,5,4,3,8,11,10,8,2,4,2,4,6,4,4,3,0,78
zh,4,4,2,16,10,7,2,2,1,11,3,1,4,3,4,4,78
,78,75,26,140,114,113,52,44,68,145,82,67,111,45,48,40,1248
