,b,d,dh,f,g,k,m,n,p,s,sh,t,th,v,z,zh,total
b,15,7,1,3,14,9,8,1,4,7,1,1,2,0,1,4,78
d,0,23,0,4,12,9,0,8,2,2,1,4,7,1,3,2,78
dh,0,0,16,0,2,9,1,0,1,1,0,0,25,17,3,3,78
f,4,1,4,37,0,1,0,2,1,6,1,1,9,6,2,3,78
g,0,1,0,0,66,0,0,0,1,4,0,1,0,1,2,2,78
k,3,3,0,0,1,57,1,3,2,3,2,1,1,1,0,0,78
m,12,3,0,10,6,12,4,1,12,6,3,0,8,1,0,0,78
n,0,5,0,4,9,13,4,24,5,0,1,2,3,1,3,4,78
p,2,1,2,2,1,19,0,0,40,0,0,6,3,1,1,0,78
s,0,1,1,2,0,0,0,0,1,51,0,0,5,0,13,4,78
sh,0,0,0,0,0,0,0,0,0,1,69,0,0,0,0,8,78
t,0,0,2,0,0,12,0,0,0,0,0,59,4,1,0,0,78
th,1,0,4,26,0,0,0,0,0,2,0,0,45,0,0,0,78
v,5,2,1,9,7,4,0,1,5,13,0,11,2,7,9,2,78
z,1,5,2,3,2,2,2,0,2,2,1,2,5,6,34,9,78
zh,0,3,6,2,9,0,0,1,1,5,8,1,6,1,0,35,78
,43,55,39,102,129,147,20,41,77,103,87,89,125,44,71,76,1248
