,b,d,dh,f,g,k,m,n,p,s,sh,t,th,v,z,zh,total
b,63,1,0,7,1,0,0,0,0,1,1,0,0,4,0,0,78
d,4,5,2,5,10,14,6,1,2,9,2,9,4,3,1,1,78
dh,3,3,6,5,6,3,3,7,5,9,3,1,8,6,6,4,78
f,1,3,2,47,3,3,1,1,1,0,0,0,11,5,0,0,78
g,1,0,1,0,73,1,0,0,0,0,0,0,1,0,0,1,78
k,0,1,1,2,3,61,1,0,3,1,0,0,1,1,2,1,78
m,7,4,1,4,7,21,6,5,6,6,1,3,2,3,2,0,78
n,4,8,4,4,10,10,2,6,3,6,3,3,5,4,3,3,78
p,4,1,1,1,4,5,5,2,39,2,2,1,7,3,0,1,78
s,0,0,1,0,0,1,0,1,0,54,5,0,8,0,7,1,78
sh,0,1,0,4,4,2,0,0,5,4,43,0,2,0,1,12,78
t,2,5,2,5,3,12,1,2,18,1,1,14,2,3,3,4,78
th,0,2,7,30,1,0,0,0,3,0,0,1,26,5,2,1,78
v,2,3,5,16,1,10,0,2,6,5,1,4,10,8,4,1,78
z,1,0,6,4,6,9,1,2,0,3,1,2,9,9,19,6,78
zh,4,1,0,2,9,3,0,1,5,2,10,2,6,2,1,30,78
,96,38,39,136,141,155,26,30,96,103,73,40,102,56,51,66,1248
