,b,d,dh,f,g,k,m,n,p,s,sh,t,th,v,z,zh,total
b,26,6,3,5,4,5,2,0,3,9,1,1,5,2,3,3,78
d,6,11,4,1,1,3,0,1,1,21,11,0,8,4,3,3,78
dh,5,7,0,2,7,1,4,4,4,8,7,5,9,4,8,3,78
f,1,0,2,63,0,0,0,0,0,0,0,0,5,7,0,0,78
g,2,9,3,1,23,11,2,2,5,2,5,3,7,1,1,1,78
k,2,3,1,5,2,42,1,0,8,3,3,2,3,2,0,1,78
m,5,1,0,25,2,1,19,3,2,2,0,5,5,7,1,0,78
n,3,6,1,4,8,11,4,2,9,6,0,8,10,2,1,3,78
p,0,0,3,1,0,35,0,0,33,0,1,3,1,1,0,0,78
s,0,2,0,6,4,7,0,2,0,39,3,2,7,1,4,1,78
sh,0,11,3,2,2,1,0,0,0,3,40,0,3,1,1,11,78
t,2,0,3,11,1,4,0,0,14,1,0,26,11,2,0,3,78
th,0,1,3,26,0,1,0,1,0,2,1,0,39,2,0,2,78
v,9,4,3,4,5,3,7,5,4,11,4,2,7,4,5,1,78
z,1,4,5,1,5,3,3,6,2,6,2,1,2,1,28,8,78
zh,1,12,4,4,17,8,0,0,2,3,2,5,8,2,6,4,78
,63,77,38,161,81,136,42,26,87,116,80,63,130,43,61,44,1248
