,b,d,dh,f,g,k,m,n,p,s,sh,t,th,v,z,zh,total
b,21,1,1,18,9,9,2,1,2,1,0,0,7,4,1,1,78
d,1,33,4,2,12,1,0,1,0,2,0,3,13,1,2,3,78
dh,3,3,12,8,1,2,0,2,1,0,1,3,17,24,1,0,78
f,1,0,1,54,0,0,0,0,0,0,0,2,17,3,0,0,78
g,0,5,1,2,39,0,0,22,0,5,1,0,2,0,0,1,78
k,1,1,1,2,0,57,0,0,8,2,0,2,2,0,0,2,78
m,8,1,2,2,3,4,26,7,12,2,1,5,5,0,0,0,78
n,13,10,3,5,11,2,11,4,6,1,0,0,6,4,1,1,78
p,1,0,3,4,0,8,2,1,46,0,0,5,6,1,0,1,78
s,3,3,2,3,4,3,1,1,0,36,3,1,4,3,10,1,78
sh,0,1,0,0,1,1,0,1,0,5,67,0,1,0,0,1,78
t,0,2,4,4,6,5,0,0,2,1,0,43,8,2,0,1,78
th,1,0,2,35,1,0,0,1,1,0,0,0,37,0,0,0,78
v,5,1,1,14,1,2,3,0,3,13,8,1,4,18,2,2,78
z,11,1,2,8,1,4,1,2,1,6,5,2,10,5,17,2,78
zh,3,5,2,10,9,4,0,2,4,0,3,0,4,1,1,30,78
,72,67,41,171,98,102,46,45,86,74,89,67,143,66,35,46,1248
