,b,d,dh,f,g,k,m,n,p,s,sh,t,th,v,z,zh,total
b,5,7,2,7,20,5,4,1,7,6,4,4,2,2,2,0,78
d,1,7,2,7,13,7,3,1,1,12,8,3,3,3,4,3,78
dh,2,4,0,9,3,12,5,1,3,14,9,6,2,3,5,0,78
f,1,1,5,49,0,0,0,0,0,2,0,0,18,1,0,1,78
g,6,3,0,7,7,23,0,1,9,1,3,6,3,2,5,2,78
k,2,5,1,11,4,19,3,3,14,3,3,3,3,0,2,2,78
m,0,4,4,10,10,8,4,3,5,11,1,4,4,4,3,3,78
n,8,2,3,19,4,2,5,3,3,8,7,4,5,2,2,1,78
p,4,6,4,15,2,15,1,0,7,4,2,7,5,3,2,1,78
s,0,2,4,6,5,6,1,0,1,17,1,2,23,5,4,1,78
sh,3,5,4,3,5,1,0,0,1,7,18,3,12,1,7,8,78
t,2,1,1,23,4,26,3,0,6,3,1,1,2,3,2,0,78
th,3,0,2,22,3,6,0,5,2,10,4,3,6,6,4,2,78
v,1,6,3,6,12,5,2,4,2,8,6,1,4,9,4,5,78
z,7,5,4,15,4,2,7,7,1,4,4,1,4,7,2,4,78
zh,5,7,3,3,8,8,1,2,5,7,4,10,6,5,3,1,78
,50,65,42,212,104,145,39,31,67,117,75,58,102,56,51,34,1248
