,b,d,dh,f,g,k,m,n,p,s,sh,t,th,v,z,zh,total
b,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
d,1,72,7,0,1,0,0,0,0,0,0,0,5,0,0,0,86
dh,0,0,52,0,0,0,0,0,0,0,1,2,27,3,1,0,86
f,0,0,0,83,0,0,0,0,0,0,0,0,3,0,0,0,86
g,0,0,1,0,84,0,0,0,0,0,0,0,0,0,0,1,86
k,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,86
m,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,86
n,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,86
p,0,0,0,0,0,0,0,0,85,0,0,1,0,0,0,0,86
s,0,0,0,0,0,0,0,0,0,82,1,0,0,0,3,0,86
sh,0,0,0,0,0,0,0,0,0,3,83,0,0,0,0,0,86
t,0,0,0,0,0,0,0,0,0,0,0,82,4,0,0,0,86
th,0,0,1,10,0,0,0,0,1,0,0,1,73,0,0,0,86
v,0,0,2,1,1,0,0,0,0,0,0,0,0,82,0,0,86
z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,4,86
zh,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,78,86
,86,73,63,94,93,86,86,86,86,85,85,86,112,85,87,83,1376
