,b,d,dh,f,g,k,m,n,p,s,sh,t,th,v,z,zh,total
b,85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,86
d,0,82,3,0,0,0,0,0,0,0,0,0,1,0,0,0,86
dh,0,0,44,0,0,0,0,0,0,0,0,2,34,6,0,0,86
f,0,0,0,82,0,0,0,0,0,0,0,0,3,1,0,0,86
g,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,86
k,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,86
m,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,86
n,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,86
p,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,86
s,0,0,0,0,0,0,0,0,0,84,1,1,0,0,0,0,86
sh,0,0,0,0,1,0,0,0,0,2,82,0,0,0,0,1,86
t,0,0,0,0,0,1,0,0,1,0,0,83,1,0,0,0,86
th,0,0,1,7,0,0,0,0,0,0,0,2,76,0,0,0,86
v,0,0,2,0,0,0,0,0,0,0,0,0,0,84,0,0,86
z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1,86
zh,0,0,1,0,7,0,0,0,0,0,1,0,0,0,2,75,86
,85,82,51,89,95,87,86,86,87,86,84,88,115,91,87,77,1376
