,b,d,dh,f,g,k,m,n,p,s,sh,t,th,v,z,zh,total
b,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
d,0,82,3,0,0,0,0,0,0,0,0,0,1,0,0,0,86
dh,0,0,47,0,0,0,0,0,0,0,0,2,28,8,0,1,86
f,0,0,0,83,0,0,0,0,0,0,0,0,3,0,0,0,86
g,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,1,86
k,0,0,0,0,0,85,0,0,0,0,0,0,1,0,0,0,86
m,0,0,0,0,0,0,85,0,1,0,0,0,0,0,0,0,86
n,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,86
p,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,86
s,0,0,0,0,0,0,0,0,0,81,2,2,0,0,1,0,86
sh,0,0,0,0,0,0,0,0,0,1,85,0,0,0,0,0,86
t,0,0,0,0,0,0,0,0,0,0,0,83,3,0,0,0,86
th,0,0,1,9,0,0,0,0,0,0,0,2,73,1,0,0,86
v,0,0,1,0,1,0,0,0,0,0,0,0,0,84,0,0,86
z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,3,86
zh,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,78,86
,86,82,53,92,93,85,85,86,87,82,87,89,109,93,84,83,1376
