,b,d,dh,f,g,k,m,n,p,s,sh,t,th,v,z,zh,total
b,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
d,0,83,3,0,0,0,0,0,0,0,0,0,0,0,0,0,86
dh,0,0,44,0,0,0,0,0,0,0,0,0,25,12,4,1,86
f,0,0,0,82,0,0,0,0,0,0,0,0,4,0,0,0,86
g,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,86
k,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,86
m,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,86
n,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,86
p,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,86
s,0,0,0,0,0,0,0,0,0,80,0,2,0,0,4,0,86
sh,0,0,0,0,0,0,0,0,0,1,84,0,0,0,1,0,86
t,0,0,0,0,0,1,0,0,0,0,0,85,0,0,0,0,86
th,0,0,1,3,0,0,0,0,0,1,0,2,79,0,0,0,86
v,0,0,1,0,0,0,0,0,0,0,0,0,2,83,0,0,86
z,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82,3,86
zh,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,77,86
,86,83,49,85,95,87,86,86,86,82,84,89,110,96,91,81,1376
