,b,d,dh,f,g,k,m,n,p,s,sh,t,th,v,z,zh,total
b,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
d,1,81,3,0,0,0,0,0,0,0,0,0,1,0,0,0,86
dh,0,0,49,0,0,0,0,0,0,0,1,0,24,12,0,0,86
f,0,0,0,84,0,0,0,0,0,0,0,0,1,1,0,0,86
g,0,1,0,0,85,0,0,0,0,0,0,0,0,0,0,0,86
k,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,86
m,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,86
n,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,86
p,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,86
s,0,0,0,0,0,0,0,0,0,76,3,0,0,0,7,0,86
sh,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,1,86
t,0,0,0,0,0,0,0,0,0,0,0,85,1,0,0,0,86
th,0,0,1,14,0,0,0,0,0,0,0,2,68,1,0,0,86
v,0,0,6,0,0,0,0,0,0,0,0,0,0,79,1,0,86
z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,2,86
zh,0,1,1,0,6,0,0,0,0,0,0,0,0,0,1,77,86
,87,83,60,98,91,86,86,86,86,76,89,87,95,93,93,80,1376
