,b,d,dh,f,g,k,m,n,p,s,sh,t,th,v,z,zh,total
b,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
d,0,83,3,0,0,0,0,0,0,0,0,0,0,0,0,0,86
dh,0,1,50,0,0,0,0,0,0,0,1,1,32,1,0,0,86
f,0,0,1,75,0,0,0,0,1,0,0,0,9,0,0,0,86
g,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,86
k,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,86
m,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,86
n,0,0,0,0,0,0,1,85,0,0,0,0,0,0,0,0,86
p,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,86
s,0,0,0,0,0,0,0,0,0,83,1,0,0,0,2,0,86
sh,0,0,0,0,1,0,0,0,0,2,77,0,0,0,0,6,86
t,0,0,0,0,0,0,0,0,0,0,0,84,2,0,0,0,86
th,0,0,3,15,0,0,0,0,0,2,0,3,63,0,0,0,86
v,0,0,2,0,0,0,0,0,0,0,0,0,0,83,1,0,86
z,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,5,86
zh,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,80,86
,86,84,59,90,90,86,87,85,87,88,79,88,106,84,86,91,1376
