,b,d,dh,f,g,k,m,n,p,s,sh,t,th,v,z,zh,total
b,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
d,1,79,4,0,0,0,0,0,0,0,0,0,2,0,0,0,86
dh,0,0,43,0,0,0,0,0,0,0,0,2,35,4,1,1,86
f,0,0,1,77,0,1,0,0,0,0,0,0,4,3,0,0,86
g,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,86
k,0,0,0,0,0,85,0,0,0,0,1,0,0,0,0,0,86
m,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,86
n,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,86
p,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,86
s,0,0,0,0,0,0,0,0,0,81,2,0,0,0,3,0,86
sh,0,0,0,0,0,0,0,0,0,1,84,0,1,0,0,0,86
t,0,0,0,0,0,0,0,0,0,0,0,85,1,0,0,0,86
th,0,0,4,10,0,0,0,0,0,0,0,2,69,1,0,0,86
v,0,0,2,0,0,0,0,0,0,0,0,1,1,82,0,0,86
z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,3,86
zh,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,76,86
,87,79,54,87,94,86,86,86,86,82,87,90,113,90,89,80,1376
