,b,d,dh,f,g,k,m,n,p,s,sh,t,th,v,z,zh,total
b,83,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,86
d,0,84,2,0,0,0,0,0,0,0,0,0,0,0,0,0,86
dh,0,0,53,0,0,0,0,0,0,0,0,3,24,5,0,1,86
f,0,0,0,81,0,0,0,0,1,0,0,0,3,1,0,0,86
g,0,0,0,0,84,0,0,0,0,0,0,0,0,1,0,1,86
k,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,86
m,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,86
n,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,86
p,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,86
s,0,0,0,0,0,0,0,0,0,82,1,0,0,0,3,0,86
sh,0,0,0,0,0,0,0,0,0,1,85,0,0,0,0,0,86
t,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,86
th,0,0,4,9,0,0,0,0,0,0,0,3,70,0,0,0,86
v,0,0,3,0,0,0,0,0,0,0,0,0,0,83,0,0,86
z,0,0,0,0,0,0,0,0,0,1,0,0,0,0,82,3,86
zh,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,77,86
,83,85,63,91,92,86,86,86,87,84,86,92,97,91,85,82,1376
