,b,d,dh,f,g,k,m,n,p,s,sh,t,th,v,z,zh,total
b,85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,86
d,2,68,6,0,8,0,0,0,0,0,0,1,1,0,0,0,86
dh,0,0,42,1,0,0,0,0,0,0,0,2,23,9,7,2,86
f,0,0,0,72,0,0,0,0,0,0,1,0,12,1,0,0,86
g,0,1,0,0,85,0,0,0,0,0,0,0,0,0,0,0,86
k,0,0,0,0,0,84,0,0,2,0,0,0,0,0,0,0,86
m,0,0,2,1,0,0,40,3,0,0,0,0,1,37,1,1,86
n,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,86
p,0,0,0,0,0,0,0,0,79,0,0,7,0,0,0,0,86
s,0,0,0,0,0,0,0,0,0,83,1,0,0,0,0,2,86
sh,0,0,0,0,1,0,0,0,0,16,64,0,1,0,0,4,86
t,0,0,0,2,0,5,0,0,8,0,0,68,2,0,1,0,86
th,0,0,4,4,0,0,0,0,0,9,0,3,64,0,1,1,86
v,0,0,2,0,0,0,0,0,0,0,0,0,3,80,1,0,86
z,0,0,1,0,0,0,0,0,0,0,0,0,2,0,80,3,86
zh,0,0,0,0,5,0,0,0,0,1,0,0,0,0,30,50,86
,87,69,57,80,99,89,40,89,89,109,66,81,109,128,121,63,1376
